gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000001629.10,1446.7263330270291,1.599694005033837,0.12087195583050796,13.234616698657538,5.537853487683729e-40,9.35622221863857e-39,ANKIB1
ENSG00000002330.13,435.7386133231368,3.8597500137754865,0.22727870974590314,16.982453033505315,1.1075835251396585e-64,3.070262553299176e-63,BAD
ENSG00000002586.20,1061.6300156036575,1.387984499690122,0.13938088205425034,9.958212914378642,2.321989226673187e-23,2.402893656002139e-22,CD99
ENSG00000002822.15,700.7148772587022,1.9934373537397483,0.1569320072481699,12.702554365390588,5.7230734198667605e-37,8.909899742276187e-36,MAD1L1
ENSG00000003249.13,473.4431193256296,3.0447916099989536,0.1815438789999279,16.771656674804017,3.9338607577037404e-63,1.0571985939329855e-61,DBNDD1
ENSG00000004059.11,851.3764496460794,2.037002638544843,0.1463253113261487,13.921054533104728,4.718899109901125e-44,8.81312548672613e-43,ARF5
ENSG00000004142.12,1733.792404496297,2.2950659697433475,0.10817841114194754,21.21556367408512,6.859965232058449e-100,3.224075967305586e-98,POLDIP2
ENSG00000004779.10,2014.0026437272259,2.521050489287329,0.11257316686592826,22.394772746242765,4.425658793836913e-111,2.3959380283885985e-109,NDUFAB1
ENSG00000004866.20,669.436108946527,1.446469910806402,0.15999646986078653,9.040636409446911,1.5576230626734627e-19,1.414380323030577e-18,ST7
ENSG00000004975.12,751.0830371625441,1.3794756669800796,0.13912071195824346,9.91567429150394,3.5584547248115137e-23,3.6684923399244872e-22,DVL2
ENSG00000005022.6,2469.7951233742588,2.311659974144483,0.10881636526579756,21.24367937210515,3.771595783260005e-100,1.7753779018748117e-98,SLC25A5
ENSG00000005075.15,1254.7021130671105,3.4854638828536126,0.1590280820303415,21.917285540729903,1.7774488976917417e-106,9.127489725402292e-105,POLR2J
ENSG00000005339.14,2093.245152080294,2.535924393785489,0.10498033963350038,24.156183935379914,6.429055384353962e-129,4.175120609474814e-127,CREBBP
ENSG00000005436.14,896.3986540567126,1.0057095772129554,0.13385445681624153,7.513456041240499,5.758648538565668e-14,4.0834301266598525e-13,GCFC2
ENSG00000005486.17,412.77129346636957,2.0269684129907724,0.19903559312548214,10.18394941910148,2.338723240595642e-24,2.5140645018654337e-23,RHBDD2
ENSG00000005882.12,190.03049445012172,1.112018818709592,0.2593709174260431,4.287368953100428,1.808018547197767e-5,6.840447272337515e-5,PDK2
ENSG00000005884.18,173.1826291601002,1.629336262176575,0.27109105772353287,6.010291434394059,1.8519011500119798e-9,9.98958858181237e-9,ITGA3
ENSG00000006007.12,1688.3161912817322,2.3454409456564025,0.10961151730496616,21.397760046791525,1.401827900997414e-101,6.74725461415765e-100,GDE1
ENSG00000006025.12,218.33895519222673,1.7191050843818592,0.22905399149373867,7.505239586400537,6.131635062225969e-14,4.342770061341875e-13,OSBPL7
ENSG00000006042.12,1521.5929160333658,1.7197003983326724,0.1301105360534703,13.217226294617241,6.979039773658669e-40,1.1744715724777583e-38,TMEM98
ENSG00000006062.17,128.46927860271188,1.1689478026814712,0.2906975693004563,4.021181895309492,5.790686764427158e-5,2.0431535692801443e-4,MAP3K14
ENSG00000006282.21,1337.9553310669362,1.3246877425141008,0.12237765104381838,10.824588731808431,2.6325834113775248e-27,3.117653566844159e-26,SPATA20
ENSG00000006327.13,576.256276845012,1.6280043373923223,0.1669749412914839,9.749991973648049,1.8448285580869187e-22,1.8533717238928248e-21,TNFRSF12A
ENSG00000006377.11,111.00370525855884,1.1043264308278788,0.32062199383553214,3.4443252554731467,5.7248656056626e-4,0.0017322723519539811,DLX6
ENSG00000006453.14,303.41024497083885,1.1939626762180964,0.1947891427190136,6.129513480843264,8.81482063466155e-10,4.873464453564127e-9,BAIAP2L1
ENSG00000006607.14,1322.4542274905004,1.4114525039606436,0.11263463962808219,12.531247124519043,5.0364409114403496e-36,7.688983580147944e-35,FARP2
ENSG00000006625.18,519.2702533801987,1.9998723587056917,0.1725209197291634,11.592057136289588,4.521409927273732e-31,6.053755384737075e-30,GGCT
ENSG00000006638.11,171.66819773714082,1.8616672483309138,0.2564545663264747,7.259247807508147,3.8924879083523377e-13,2.650894062790088e-12,TBXA2R
ENSG00000006695.12,528.2377651899797,1.2137844616397813,0.16305813620938925,7.4438754781369125,9.777366694959697e-14,6.856753434380497e-13,COX10
ENSG00000006757.12,299.5828308770442,2.252372769191847,0.23174452445509935,9.71920598550429,2.4972113755769635e-22,2.4978788560649227e-21,PNPLA4
ENSG00000007047.15,358.93169920971314,2.616998574243731,0.1987926002880605,13.164466737954873,1.4052629926890557e-39,2.3385638396400752e-38,MARK4
