gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000269888.1,49.698779845905975,9.8419916539452,1.5196511755533602,6.476480795246563,9.388655988497748e-11,5.541750453147587e-10,AC112491.1
ENSG00000259001.3,244784.9819486143,9.633085895282942,0.5131303374685914,18.77317553042278,1.251746230537408e-78,4.277942768245311e-77,AL355075.4
ENSG00000287296.1,35.5820436086823,9.358904068668295,1.5527323666298969,6.0273774604062504,1.666415074633564e-9,9.028073562138914e-9,AC011446.3
ENSG00000276077.4,31.067897249526844,9.16815785171224,2.6815575168363877,3.4189674449081098,6.285924661479746e-4,0.0018888689402326673,CU633904.1
ENSG00000286171.1,81.59326810438796,9.1143175945125,1.4751123881596826,6.178727578773383,6.462028847326399e-10,3.603282168583679e-9,AC073140.1
ENSG00000278996.1,29.067486165440673,9.071052480287024,1.5576150973735592,5.823680378793565,5.756562025586879e-9,2.9899367439628724e-8,FP671120.4
ENSG00000257660.5,18.874832344533196,8.450805360917423,1.620419730454828,5.215195299149688,1.8362366696169274e-7,8.476985877408107e-7,ADCY6-DT
ENSG00000229278.2,15.907756638535474,8.199553783980994,1.6499912162363144,4.969452990594975,6.714204585429591e-7,2.95212008927289e-6,AL133353.1
ENSG00000274874.2,14.889253418554404,8.106835274940353,1.660564517436298,4.881975490754363,1.0502831272193837e-6,4.527483983109274e-6,AC068790.8
ENSG00000251660.1,12.308436303222047,7.826665033380324,1.7209078784632719,4.547986055110249,5.416172342318923e-6,2.1727102717987928e-5,AC007036.3
ENSG00000281358.1,12.062450264571702,7.801787085087157,1.7083091691314474,4.566964356372217,4.948381139713463e-6,1.9906562021061765e-5,RASSF1-AS1
ENSG00000233078.1,10.148436843934734,7.557861101880096,1.7704312434606901,4.268937938028378,1.9640590172457032e-5,7.400880913568516e-5,AL355994.3
ENSG00000273102.1,8.524626438920858,7.295869761950042,1.8334483192892463,3.979315743559303,6.911390116799385e-5,2.4155171295440112e-4,AP000569.1
ENSG00000258800.1,7.8308852999425635,7.180589829716142,1.8398386348699578,3.9028367453668977,9.507183119053465e-5,3.2610683801354565e-4,AL136038.2
ENSG00000256116.1,7.427347176587361,7.0935780771253265,1.956568858848456,3.6255192578809985,2.883814036721573e-4,9.173905496904735e-4,AP001453.1
ENSG00000277688.1,6.873878589624081,6.9966194438768925,1.9101266110594046,3.6629087325244845,2.493674057785456e-4,8.024896693752659e-4,AC243585.2
ENSG00000267629.3,5.776599327290583,6.741372985752014,1.9639723991261824,3.432519208901006,5.98001518801042e-4,0.0018043710411071957,AC138430.1
ENSG00000283375.1,5.715102817627995,6.728301032641164,1.976277749031926,3.404532098758387,6.627751038390636e-4,0.001982630001871891,AC087521.4
ENSG00000261393.1,5.6536063079654095,6.714940487738431,1.9970248508911617,3.3624721719120947,7.724791164731167e-4,0.002281617974444768,AC007493.2
ENSG00000231403.1,5.592109798302822,6.701173440644117,2.0278208518725798,3.3046180753373533,9.51059051598972e-4,0.0027732352086071907,AC099344.2
ENSG00000248223.1,15.165817798244506,6.670445271922806,1.6346363843831537,4.080690565590197,4.490209862333038e-5,1.6093367994556026e-4,AC026785.2
ENSG00000234238.2,4.617823555294498,6.41451022756495,2.08001556351573,3.0838760728899905,0.0020432268768449517,0.005568007121698905,AC022498.1
ENSG00000258982.1,23.417719693290724,6.304463468555773,1.223038312633087,5.154755499836185,2.539620730790265e-7,1.1581289480334952e-6,AL133523.1
ENSG00000286874.1,4.231564964629136,6.286788596233892,2.136963441049952,2.941926134751754,0.0032617771972966417,0.00852103714944737,AC072054.1
ENSG00000286061.1,4.170068454966549,6.268843441219224,2.134370086486582,2.9370930003701745,0.0033130473267953485,0.00864366107796071,RCAN3AS
ENSG00000287331.1,4.108571945303963,6.2507317910892155,2.1451685633936015,2.913865090956171,0.003569841417026286,0.009248348247052004,AC106045.1
ENSG00000249456.1,1251.4135320490045,6.17375590789143,0.19313114674712978,31.966650702772682,3.1715533674960326e-224,4.04042403047218e-222,AL731577.2
ENSG00000262533.1,3.660816844976014,6.086452430339855,2.225815388304742,2.7344821418345515,0.006247848437145774,0.015294201677127568,AC090617.3
ENSG00000287718.1,3.660816844976014,6.086452430339855,2.225815388304742,2.7344821418345515,0.006247848437145774,0.015294201677127568,AC009166.3
ENSG00000229891.2,9.977246123296887,6.061026792093164,1.7343428419554014,3.4947108757687158,4.7457554455216907e-4,0.001457065188473268,LINC01315
ENSG00000259952.1,353.96615048252846,6.008692946441379,0.301908975135654,19.902332958937535,3.884220848413508e-88,1.5121690996073293e-86,AC009133.2
ENSG00000233920.2,3.3975512736358264,5.969331818885507,2.27964232068839,2.6185387789620136,0.00883072538703021,0.020861221229141514,AL162595.2
ENSG00000223695.1,3.3360547639732396,5.946915325906711,2.276552604380768,2.6122459522626746,0.008994951680532196,0.021200666305445825,FO393418.1
ENSG00000270022.3,1539.8021239935692,5.942711024791052,0.17223738578226586,34.50302614499467,7.2255694513837835e-261,1.1325607237462183e-258,Z93241.1
ENSG00000255395.1,529.0528658980904,5.937510191419993,0.25421082876050377,23.356637560919246,1.1799296016655129e-120,7.194446520297785e-119,AP001972.4
ENSG00000254859.1,706.6372285584218,5.903552080974904,0.23036170129187414,25.627315859657386,7.570146067932379e-145,5.487531064933646e-143,AC067930.3
ENSG00000248227.1,3.213061744648066,5.900866252176325,2.3357055178927686,2.526374239805701,0.011524664160222903,0.02640837318245337,LINC02513
ENSG00000249085.1,3.213061744648066,5.900866252176325,2.3357055178927686,2.526374239805701,0.011524664160222903,0.02640837318245337,AC035140.1
ENSG00000287443.1,8.603601420331897,5.849999134041313,1.7844862829167853,3.2782539098475723,0.0010445139514081846,0.003025997549570179,AL357558.3
ENSG00000234396.3,3.011292682970465,5.792682428327924,2.3890558825080412,2.424674312032727,0.015322125649173509,0.034003987967750664,AL590822.1
ENSG00000224328.1,2.8268031539827048,5.714994231697798,2.4186877449605197,2.362849129080564,0.018135050733638736,0.039419672465234624,MDC1-AS1
ENSG00000248685.6,819.1873039099085,5.71398915832057,0.20309325993615523,28.13480447414567,3.6771451421005408e-174,3.3768825541167485e-172,LINC02484
ENSG00000239705.2,46.04186088727956,5.678198795796475,0.7488814010326358,7.5822403760686035,3.3963826122963284e-14,2.4395610040049776e-13,AL354710.2
ENSG00000249772.1,174.61445703956466,5.664273199258943,0.38785339481870057,14.604160424860195,2.642170910097159e-48,5.348297005171653e-47,AC026427.1
ENSG00000283696.1,307.0966881222068,5.5395847065971715,0.3033810860554961,18.25949263555554,1.7389954713325317e-74,5.5860564829134485e-73,AL592295.4
ENSG00000178977.3,1283.7552572610743,5.394092961675385,0.1573810654719729,34.27409101278444,1.909193684843374e-257,2.9161959457571903e-255,LINC00324
ENSG00000286257.2,980.9211455288992,5.3829180777873615,0.17952996843446872,29.983395667738957,1.6156075319847868e-197,1.7398582119626095e-195,AL137100.3
ENSG00000282885.2,130.57510157740168,5.367981043146176,0.4218314756055944,12.725416081006603,4.271930753139531e-37,6.681978207287946e-36,AL627171.2
ENSG00000261481.1,5.9170708183642065,5.3064229380127355,1.90367863466508,2.7874573162640504,0.005312345206010824,0.013235768207186423,AC022167.4
ENSG00000233234.1,5.732581289376446,5.267639522240764,1.9614879208386222,2.6855324808671863,0.007241433590003216,0.01745242624517117,AL592464.2
ENSG00000226715.4,1533.3301956432888,5.235223366813404,0.15972457112651983,32.77656862616659,1.2704072008379466e-235,1.768997710636579e-233,LINC01709
ENSG00000277383.1,16.72852957171301,5.213195642568833,1.1209190461814524,4.650822608758608,3.306136213587399e-6,1.3532828269398353e-5,AC010331.1
ENSG00000265401.1,1483.8719366721446,5.193033192851647,0.8783601244894472,5.9121914213377265,3.375858852903052e-9,1.782162975457795e-8,AC093484.3
ENSG00000265217.2,329.9285789115888,5.135847340264319,0.26392662437612363,19.45937569733468,2.4272345655760987e-84,8.98226803760411e-83,AC090358.1
ENSG00000259932.1,131.91350755982083,5.119669273648284,0.40921006425855283,12.511103027059233,6.491647433893195e-36,9.875352686783256e-35,AC051619.7
ENSG00000205790.1,257.9235967628366,5.0962070444464604,0.2904053042732685,17.54860179706284,6.09623870569851e-69,1.8106070870158927e-67,DPP9-AS1
ENSG00000230686.1,20.082062807434703,5.063053098818302,0.9988374604585096,5.068945948917596,4.0002479768054427e-7,1.7906612429665274e-6,AC067945.2
ENSG00000237781.3,10.069320973999227,5.03925907064365,1.437525139119244,3.5055102227507127,4.557329997074806e-4,0.0014015135639694456,AL356356.1
ENSG00000267984.1,4.894387934984598,4.9919384415295704,2.026312135709814,2.463558478260262,0.013756545286546434,0.030919178137284318,AC008750.4
ENSG00000243944.5,4.758295046368122,4.980078538190714,2.0009501651688604,2.4888568565476716,0.012815455218188422,0.02903504603618321,AC117386.2
ENSG00000265254.1,56.436739698516,4.955436514896573,0.6234609577095671,7.948270783629425,1.8913289124721044e-15,1.442981778327978e-14,AC015917.2
