gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000260914.3,263.7597533271566,12.251463725409987,1.46059087435747,8.388018808346684,4.944031304524272e-17,4.0730437312836452e-16,AC026464.4
ENSG00000251349.3,118.29729319013177,11.097587258709313,1.4743201019964116,7.527257644850537,5.1817063263836775e-14,3.678679724905728e-13,MSANTD3-TMEFF1
ENSG00000284491.2,66.53660575047704,10.265470104931087,1.494900793134076,6.8669908746314965,6.557026250881312e-12,4.151073205728161e-11,THSD8
ENSG00000177144.7,65.93129856544422,10.25032077250604,1.5005914983952777,6.830853555726301,8.441086923794793e-12,5.310133648341427e-11,NUDT4B
ENSG00000278139.1,56.23823844293422,10.02570084067339,1.5075097607959005,6.6505047605000245,2.920895530956757e-11,1.7751881933776568e-10,AL358075.4
ENSG00000258677.2,27.505172270089385,8.987494632337832,1.5777756799716272,5.696306988645846,1.2243034688778983e-8,6.201894627963878e-8,AC022826.2
ENSG00000250349.3,21.964901069856086,8.67126383811599,1.606425595137275,5.397862101029957,6.74396686589807e-8,3.2304140805001024e-7,AF241726.2
ENSG00000125954.12,20.279594155179623,8.552440093785197,1.6050375155044896,5.328498562288761,9.902798113175549e-8,4.679134626140303e-7,CHURC1-FNTB
ENSG00000285304.1,15.600274090222541,8.175804740433257,1.6545169233360368,4.941505659517953,7.752156579968756e-7,3.3841362451313007e-6,Z83844.3
ENSG00000286239.1,121.66088221556375,8.10747403932167,0.8883279388794171,9.126667849205393,7.064004482206466e-20,6.487183011910955e-19,AC093884.1
ENSG00000273167.1,14.810477376201977,8.094231275387942,1.6749932115282424,4.83239646565664,1.3489927061649782e-6,5.74482839789006e-6,AL359736.1
ENSG00000256825.4,14.424218785536615,8.055629566079826,1.6842407897826088,4.782944110455605,1.7274616885532397e-6,7.286101441519709e-6,AC026786.1
ENSG00000285920.2,13.651701604205892,7.97525438907952,1.7059932142686483,4.6748453173059525,2.9417526055695783e-6,1.2112527782360339e-5,AC087721.2
ENSG00000269955.2,250.81203589703338,7.869890378007417,1.850665241645313,4.252465654464219,2.114296509101614e-5,7.935039349314795e-5,FMC1-LUC7L2
ENSG00000255104.8,145.26181496550024,7.354105548521121,0.6511649572099827,11.29376737352533,1.4086650880231383e-29,1.803019042549667e-28,AC005324.4
ENSG00000087086.15,721590.0524772246,7.016469672787661,0.07056484382076744,99.4329370388643,0,0,FTL
ENSG00000284922.1,6.426123489296132,6.900721003073544,1.9519206186852807,3.535349202736296,4.0723660491092533e-4,0.0012619655809774644,AP000812.5
ENSG00000198211.8,6.2858509372811175,6.859787854743212,1.928682277882839,3.55672260455121,3.755102998583667e-4,0.0011704349148526584,AC092143.1
ENSG00000283071.1,16.895341689893712,6.827274669618522,1.6168373521254813,4.222610679202482,2.414887465653531e-5,8.99438926931269e-5,LBHD2
ENSG00000188573.8,15.091221419290616,6.673344961414005,1.6358568593726357,4.079418638115615,4.514846775080029e-5,1.617392398616081e-4,FBLL1
ENSG00000182712.16,580.149697602055,6.482215803836609,0.6326809845742548,10.245630834311603,1.238145313975628e-24,1.348402852302741e-23,CMC4
ENSG00000272647.3,4.7408165746196715,6.447257141337275,2.1089684029345563,3.0570667309980273,0.002235145104833354,0.006043147669872749,AC005020.2
ENSG00000197409.7,7178.282714739207,6.367091179313286,0.12424316502402485,51.2470136935266,0,0,HIST1H3D
ENSG00000269891.2,59.02034390383663,6.3067996954045835,0.8082376068528694,7.803150511595367,6.038046370475426e-15,4.494456296352395e-14,ARHGAP19-SLIT1
ENSG00000198062.15,4.231564964629136,6.286788596233892,2.136963441049952,2.941926134751754,0.0032617771972966417,0.00852103714944737,POTEH
ENSG00000288208.1,22.194005453933812,6.228771590772487,1.2784259891065428,4.872219153746715,1.1035166035546783e-6,4.743299364999277e-6,AL451136.1
ENSG00000167468.17,20739.813264675384,6.15765299115006,0.1278610651407574,48.15893708042658,0,0,GPX4
ENSG00000242173.10,3.8453063739637745,6.146742270506686,2.2093327367378532,2.782171362554713,0.005399652097259211,0.013427592365457782,ARHGDIG
ENSG00000260170.1,3.5820408026235864,6.0403773567875785,2.6187214573027124,2.3066131527440787,0.021076395648841256,0.04491317054132035,AC090527.2
ENSG00000267228.7,81.63796312246608,6.038782380660582,2.1295316437691536,2.8357326355443444,0.004572070343492958,0.011554840616536569,AC012254.2
ENSG00000255835.1,3.476327315988254,6.017970030075199,2.6211686390827706,2.2959110453042335,0.021680968079411986,0.04607359613582027,AL117348.2
ENSG00000159224.4,9.57788766334022,6.014025268002265,1.7448964888559668,3.4466372684062954,5.676101260096466e-4,0.001718559056682524,GIP
ENSG00000270181.3,9.65248404229411,6.01032453999757,1.7383458731896109,3.4574963663413554,5.452195948070812e-4,0.001655790650165794,BIVM-ERCC5
ENSG00000186197.14,3.459047783298413,5.991821812991743,2.3061392716682247,2.598204664654687,0.009371261998639628,0.02199726092958191,EDARADD
ENSG00000153046.18,10460.136916050813,5.979302484634791,0.10046039232534462,59.519003920177845,0,0,CDYL
ENSG00000285509.1,305.8154338531116,5.833072459487237,0.6995430920768654,8.33840334577459,7.53003427047102e-17,6.151000436271797e-16,AP000646.1
ENSG00000171159.5,997.8557436878399,5.808157782699407,0.19650842573283275,29.556787506893027,5.372255284513895e-192,5.603992289469581e-190,C9orf16
ENSG00000065978.19,42775.380543920015,5.770543344020898,0.07856783383662977,73.44663919359024,0,0,YBX1
ENSG00000204352.3,24.155876748300372,5.751369202696626,1.0640206323546082,5.4053173667969405,6.469374026810593e-8,3.10583899317921e-7,C9orf129
ENSG00000270617.1,2.8268031539827048,5.714994231697798,2.4186877449605197,2.362849129080564,0.018135050733638736,0.039419672465234624,URGCP-MRPS24
ENSG00000203685.10,15.446561841333144,5.692751733861782,1.2870793132892324,4.422999946532827,9.733976553743877e-6,3.800910265631723e-5,STUM
ENSG00000122034.15,10054.658727930513,5.67758707795543,0.08983586999743003,63.19955579122071,0,0,GTF3A
ENSG00000128185.10,2045.571448698177,5.661411266887379,0.13868587399064367,40.8218306881732,0,0,DGCR6L
ENSG00000103202.13,6600.221364024903,5.636470295238336,0.09513194471936491,59.24897584997004,0,0,NME4
ENSG00000235162.8,739.878260531567,5.628105849861164,0.19766921416183178,28.47234392935581,2.5779842549535096e-178,2.4579519944203237e-176,C12orf75
ENSG00000262165.2,44.31233699563036,5.622139398022733,0.7526577381488476,7.469715799176283,8.03682073134998e-14,5.657332213852709e-13,AC233723.1
ENSG00000275221.1,2398.0762059795807,5.5518065758424076,0.1304451277150208,42.5604748379047,0,0,HIST1H2AK
ENSG00000249319.2,14.054899899978016,5.537906218948186,1.3484410379323544,4.106895342965674,4.010128152488636e-5,1.4460999353072123e-4,AC068533.4
ENSG00000172318.5,291.7378225291189,5.53033448062006,0.31476663561154655,17.56963367440584,4.2088128983238223e-69,1.2575193667666527e-67,B3GALT1
ENSG00000197958.13,35807.25947889301,5.512442406031127,0.07944863863204192,69.38372388684253,0,0,RPL12
ENSG00000143774.16,6039.763166234076,5.511396344371378,0.10320412968239788,53.402866351688075,0,0,GUK1
ENSG00000157856.12,13.361896466700019,5.489750566583723,1.3509214464971464,4.063708205105706,4.8299199688709334e-5,1.7222265844218438e-4,DRC1
ENSG00000196418.12,12420.845024106382,5.479219005246766,0.0969501953407055,56.51581191756776,0,0,ZNF124
ENSG00000089157.16,141490.65100844772,5.469698340057138,0.08497852135929138,64.36565678674394,0,0,RPLP0
ENSG00000102981.9,282.9648339334683,5.418322429441014,0.2949495124776738,18.370338651945232,2.2699109454936943e-75,7.435075917526282e-74,PARD6A
ENSG00000177868.12,1372.1261965296894,5.3763065232423815,0.15542859308202328,34.590202591650424,3.546782384410085e-262,5.648062288535592e-260,SVBP
ENSG00000099385.11,3431.6696762427878,5.37319201461672,0.11294040345655279,47.57546325468672,0,0,BCL7C
ENSG00000256206.2,18.88779132530003,5.371642591435433,1.1246034356150987,4.776477130800714,1.7839283070580938e-6,7.515795898776417e-6,AC018523.2
ENSG00000136425.14,92.6938054401663,5.365813362114933,0.5027455691622528,10.673019696734922,1.3612909906156568e-26,1.5698894328602286e-25,CIB2
ENSG00000163170.12,3457.3569901424703,5.352664728550726,0.1318992935329831,40.58145108421088,0,0,BOLA3
ENSG00000135447.17,24.388224151017727,5.339264605599076,0.952121298657971,5.6077567145329565,2.0496586300868424e-8,1.020669994470058e-7,PPP1R1A
ENSG00000112306.8,61619.472719744415,5.332030973423871,0.08442660818141823,63.15581175506015,0,0,RPS12
ENSG00000184260.5,12847.728748279045,5.330591382013199,0.08383711600415193,63.58271414953262,0,0,HIST2H2AC
ENSG00000278705.1,9086.69791524304,5.234251256981123,0.09986074041455859,52.415506186433475,0,0,HIST1H4B
ENSG00000214530.9,11662.819336127885,5.2306335989619335,0.09111091985339627,57.40951367166946,0,0,STARD10
ENSG00000169230.10,8542.95170791214,5.229535095022116,0.10538251249954901,49.62431594183614,0,0,PRELID1
ENSG00000142694.6,184.25963450088886,5.207775754876903,0.3604883381201998,14.446447233309508,2.639541380672447e-47,5.257657342286874e-46,EVA1B
ENSG00000103260.9,1849.014466356686,5.202184116216783,0.1289691206298967,40.33666424031466,0,0,METRN
ENSG00000235169.8,1806.4348796454635,5.181632064490963,0.17863989860662804,29.00601772004538,5.524708530168774e-185,5.5132907992064254e-183,SMIM1
ENSG00000167996.16,36532.50882591945,5.161912102865885,0.08638974269428773,59.751446663438216,0,0,FTH1
ENSG00000169627.9,2223.560962534862,5.139243711257329,0.33910611172241334,15.155267137928286,6.993050664373579e-52,1.515988057856743e-50,BOLA2B
ENSG00000285000.1,174.76089864556428,5.138414088992301,0.37076420001085003,13.858981230771283,1.1225618859724373e-43,2.075803443004498e-42,AC008581.2
ENSG00000282246.1,10.367883316419395,5.128568384991555,1.4479098954841363,3.5420494058276466,3.9703110344602074e-4,0.0012326368531543057,AL157392.5
ENSG00000044524.11,5.206050146696071,5.1119270229991525,1.9650437254264226,2.601431691750189,0.00928355510905054,0.021813913574660945,EPHA3
ENSG00000140988.16,55817.585997468275,5.1014863315759325,0.08488856659280329,60.09627133942473,0,0,RPS2
ENSG00000213931.7,10.37680352231216,5.077747905365534,1.4171807757784638,3.5829923691819094,3.396805344848861e-4,0.001067536829877023,HBE1
ENSG00000173457.11,4678.1337814033695,5.054800390005677,0.0962034968506881,52.54279267884556,0,0,PPP1R14B
ENSG00000157045.9,4276.653397772979,5.042931184144297,0.10094549064597669,49.95697333157982,0,0,NTAN1
ENSG00000261717.5,34.57181687750797,5.037819636680573,0.761681338323718,6.614077808139074,3.738750640304204e-11,2.260769878194855e-10,AC009163.5
ENSG00000272968.5,19.60392830512561,5.037197633601158,1.0634833085516768,4.736508408826043,2.1743172367680144e-6,9.063590842990923e-6,RBAK-RBAKDN
