gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000267520.2,262.53955831152086,-10.744885800285292,1.4565091330556874,-7.377149621947807,1.6171424098808496e-13,1.1201760635588355e-12,AC010733.2
ENSG00000249102.3,187.76822910335113,-10.261292398320249,1.4611774966839612,-7.022618690479099,2.1774788626049315e-12,1.417468192839018e-11,AC034223.1
ENSG00000265142.9,129.04329351775095,-9.719775601189646,1.4717467522964591,-6.604244640610395,3.9954926391014766e-11,2.4126024861464016e-10,MIR133A1HG
ENSG00000225479.1,83.87133907757433,-9.098184630291607,1.4839745975638166,-6.130957123678359,8.735194689099384e-10,4.8330116171180434e-9,PLCB1-IT1
ENSG00000236526.1,79.59754072593898,-9.02287581876655,1.4843136077469947,-6.0788203865234145,1.2106987982598887e-9,6.629943409969736e-9,AL035448.1
ENSG00000262160.1,76.93442812257001,-8.973965463849977,1.484779245403759,-6.0439728610360985,1.5036481492226176e-9,8.171395587479893e-9,AC020978.5
ENSG00000286843.1,73.07982558825636,-8.899508185546766,1.4889010144910269,-5.977232938207795,2.2695956379369947e-9,1.2135587463575237e-8,AL160159.1
ENSG00000260482.3,66.62539114113108,-8.76560378893864,1.5109034309260048,-5.801564553709672,6.5698994069817e-9,3.400581750453288e-8,AC008870.1
ENSG00000285778.2,49.807513645606186,-8.346635393678831,1.5065052854563359,-5.54039569210708,3.017889540321098e-8,1.4882554506452157e-7,AL591463.1
ENSG00000258743.6,47.77541342411894,-8.286493348983521,1.5092948810820015,-5.490307727700634,4.01234061231098e-8,1.9582890976747004e-7,LINC02301
ENSG00000231201.1,46.413625192387315,-8.244326438030592,1.5171776063003244,-5.433989009457231,5.510797659296686e-8,2.6605750737626866e-7,AF127577.2
ENSG00000226367.6,46.00168351732703,-8.231654479749382,1.5141297390060435,-5.4365582206668,5.4319595472338876e-8,2.624205340085334e-7,ST7-AS2
ENSG00000253168.1,41.16962627252789,-8.071480237756147,1.5228435417166921,-5.300268882945924,1.1563225791928488e-7,5.430272215823609e-7,AC124069.1
ENSG00000273295.1,39.94327404550765,-8.02890867139214,1.5263771987349872,-5.260107841001715,1.43970940311744e-7,6.710574515106635e-7,AP000350.6
ENSG00000287932.1,108.22138585286586,-8.021257141429661,1.4476077963942138,-5.541043065262206,3.006752551560217e-8,1.4832123560489336e-7,AC000065.2
ENSG00000228876.4,39.499286904834875,-8.012490113093147,1.5232158235955475,-5.26024611153243,1.4386271660436965e-7,6.706574291033351e-7,AC010745.2
ENSG00000226876.3,39.493441177804996,-8.011621772473893,1.5243773124525266,-5.255668466742152,1.4748777236750687e-7,6.869148925230897e-7,AC092801.1
ENSG00000248115.1,39.13389897990993,-7.998570992712545,1.5236980181108633,-5.249446345431011,1.5255702471066548e-7,7.097517025311426e-7,AC023154.1
ENSG00000259091.1,38.45774126312441,-7.97329149989496,1.526321131613936,-5.2238623542242255,1.7522905705821836e-7,8.110710436315617e-7,LINC00517
ENSG00000285852.1,37.098171687291966,-7.921802087618866,1.5271239527464953,-5.1873995384406735,2.1325089601649663e-7,9.781377853442435e-7,AL353147.1
ENSG00000286771.1,35.5791850240647,-7.8612453519762,1.5310049392086436,-5.134696270829521,2.826000378705827e-7,1.2828627647868848e-6,AC097658.3
ENSG00000284734.1,34.219615448232254,-7.805521973110246,1.5352542081678668,-5.0841886194372705,3.6920090672954837e-7,1.658882897443977e-6,AC099063.4
ENSG00000287169.1,33.8149279154334,-7.787872070120358,1.5354067321557263,-5.072188304910001,3.9326694790519655e-7,1.7625188452673316e-6,AC107050.1
ENSG00000227455.3,32.80180066820471,-7.744351816294493,1.5381588910891202,-5.034819134199439,4.783002168554626e-7,2.1276897313846716e-6,AL450345.1
ENSG00000286927.1,173.19227280568208,-7.702002064615332,1.0491016883038369,-7.341520989321587,2.111800273279308e-13,1.453738252044974e-12,AC103955.1
ENSG00000234520.6,30.94362581863511,-7.659281682115433,1.5526464278593586,-4.933049498381497,8.095562883713125e-7,3.5289015959901504e-6,AC018464.1
ENSG00000286553.1,30.89707206849978,-7.6580501802945005,1.543800251555199,-4.960518805836381,7.030515417004191e-7,3.084401678696827e-6,AL357075.3
ENSG00000253377.2,30.659055765357152,-7.646298190214873,1.5465160688102575,-4.944208692313949,7.645376936794873e-7,3.339957605920982e-6,AC068672.2
ENSG00000272304.1,30.192495957232488,-7.62355415918565,1.5665933636206735,-4.866326090879303,1.1369187447333807e-6,4.881266797623398e-6,AC096721.1
ENSG00000240175.1,30.132842337805855,-7.621568128138977,1.5461241739031284,-4.929467022625119,8.24542518257835e-7,3.5916126744657445e-6,MAGI1-AS1
ENSG00000226053.1,81.17854055301652,-7.601235079718619,1.4563138253001955,-5.219503480406599,1.7940344388492843e-7,8.293669399362241e-7,LINC01776
ENSG00000276564.1,80.72545637984638,-7.596785524370672,1.4581123359129586,-5.210013890743298,1.8882649359757808e-7,8.705093263511385e-7,AC130650.2
ENSG00000270103.3,29.52802969450674,-7.592820340093505,1.549491883824086,-4.900200136159937,9.57390783242292e-7,4.1425589346304e-6,AL360012.1
ENSG00000287014.1,80.27968505827886,-7.58524064876724,1.4570743291423642,-5.205802131749807,1.9316038549371622e-7,8.892565924820662e-7,AC087883.2
ENSG00000231177.4,28.91737132417774,-7.562293001156153,1.5499333511823374,-4.879108508367408,1.065664265309989e-6,4.5891623669232525e-6,LINC00852
ENSG00000277945.1,28.42461177747047,-7.536779625208046,1.56098911117904,-4.8282076865452295,1.3776737315671983e-6,5.8611334625065775e-6,AC107308.1
ENSG00000287201.1,28.36858522917455,-7.534526747229493,1.5522749253770354,-4.8538610165331475,1.2108060959843807e-6,5.179184583737733e-6,AC009682.1
ENSG00000259209.3,28.26741334597483,-7.529226531300885,1.5536406139327994,-4.84618287123804,1.2585951262832072e-6,5.375919659104958e-6,AC004943.1
ENSG00000281195.1,153.9608371072281,-7.524268712925312,1.0503592891431914,-7.163518988881487,7.863196486198752e-13,5.251134874053497e-12,AC007878.1
ENSG00000255565.1,28.14004172419251,-7.522649128220224,1.5547409586231788,-4.8385225117385495,1.308078820828996e-6,5.578527598002633e-6,AC073651.1
ENSG00000224563.1,27.72225432210235,-7.500588305175876,1.5666755210011278,-4.7875824985016004,1.6880235515807668e-6,7.125782443207134e-6,LPP-AS1
ENSG00000288054.1,26.744799611616862,-7.44951452355444,1.5585431552068907,-4.779793551860645,1.7547528820039864e-6,7.397041929236179e-6,AL360178.2
ENSG00000287408.1,26.591228251251934,-7.441229330088688,1.5591037172476985,-4.772760944489803,1.8171743658508577e-6,7.649404691344627e-6,AC027811.1
ENSG00000286245.1,25.88887079588382,-7.402497647701365,1.5626851336388432,-4.73703722416814,2.168653436344973e-6,9.043759099776542e-6,AC125437.3
ENSG00000287518.1,25.712726768066993,-7.392255109198004,1.5686294652685011,-4.712556580678967,2.4462812630061e-6,1.0149669761762529e-5,AC100778.4
ENSG00000266965.1,25.349557499041214,-7.372479984238542,1.5646139392683538,-4.712012209022033,2.452826805519523e-6,1.0173556234918743e-5,AC090220.1
ENSG00000230806.1,25.222185877258894,-7.365142885754958,1.5650236658435137,-4.70609042310252,2.5251255002483775e-6,1.0461833272410176e-5,SRGAP2-AS1
ENSG00000270277.1,24.70322659196902,-7.334392271813308,1.5751022826822394,-4.656454601363146,3.217011766239094e-6,1.3196889320041928e-5,AC009948.2
ENSG00000245711.2,24.30438478620004,-7.3112587227251815,1.5711824232174492,-4.653348086566085,3.265882352557556e-6,1.3386361701926084e-5,NADK2-AS1
ENSG00000251379.1,256.4012115784744,-7.2644606945473464,0.7504154510666459,-9.680585180144666,3.6462292579548077e-22,3.629016340580154e-21,AC099550.1
ENSG00000116652.6,23.19371272690235,-7.243527373503225,1.5806331786630037,-4.582674507459248,4.590663202813517e-6,1.8524770854000685e-5,DLEU2L
ENSG00000248408.1,23.176985786480337,-7.243111638512984,1.5753372144478255,-4.597816627503326,4.269415006911676e-6,1.728201006989207e-5,LINC02469
ENSG00000228604.3,22.821070659715982,-7.22044843283685,1.578689799938494,-4.573696766215985,4.7919322772643114e-6,1.9297937653583394e-5,AL121759.1
ENSG00000253103.2,248.1829544977222,-7.214902919834588,0.7496858055531056,-9.623902261977008,6.338002356981025e-22,6.249904959265413e-21,LINC01609
ENSG00000261728.1,61.55264165125069,-7.199109802734671,1.4683884042489435,-4.9027285845511,9.451453296714067e-7,4.093123228656527e-6,AL138690.1
