gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000205609.12,80.66729269602749,-9.042238499513443,2.2191560829416006,-4.074629346272711,4.6087692104463246e-5,1.6490657657743763e-4,EIF3CL
ENSG00000169508.7,70.19764227806593,-8.841736804293285,1.4886350979603735,-5.939492368820023,2.8590598433673877e-9,1.5181719331453147e-8,GPR183
ENSG00000173627.8,62.07871419027752,-8.664473859130249,1.494229976851923,-5.798621359065995,6.6862307726137624e-9,3.45840319403094e-8,APOBEC4
ENSG00000181541.6,57.17531187199198,-8.5454101708653,1.5006414517710787,-5.694504947054397,1.23730398834073e-8,6.26139398291832e-8,MAB21L2
ENSG00000215695.1,52.2574012691836,-8.41624479091809,1.5041374449509586,-5.595396098388134,2.2011864063076653e-8,1.093761305096081e-7,RSC1A1
ENSG00000169282.17,120.84590710273916,-8.177906837355367,1.446236721065583,-5.6546115295218815,1.5619914540910455e-8,7.836919750725275e-8,KCNAB1
ENSG00000143297.19,119.09696851929833,-8.15715493179143,1.4444046182189356,-5.64741681721417,1.6287659940932516e-8,8.163736201433746e-8,FCRL5
ENSG00000188050.3,43.06488207407223,-8.136205272336168,1.524418119509976,-5.337253059515948,9.436529288676775e-8,4.46445660310375e-7,RNF133
ENSG00000077092.19,37.61491231668266,-7.9412305728451065,1.5293033009147274,-5.192711326847455,2.0725340883537834e-7,9.516491646799932e-7,RARB
ENSG00000162630.6,100.3713335275017,-7.908438152785563,1.4555216347151703,-5.433404742440093,5.5288804690151206e-8,2.668014562884827e-7,B3GALT2
ENSG00000212126.3,36.23277007339833,-7.887346792748177,1.5307348711468822,-5.152653762201608,2.568258823329372e-7,1.1710102444842328e-6,TAS2R50
ENSG00000261796.1,36.117688080239674,-7.882886500814761,2.6710166166070026,-2.9512682368964094,0.0031647194949637855,0.008285559443832602,ISY1-RAB43
ENSG00000255374.3,31.73042821678093,-7.696153887703697,1.5409156965846713,-4.9945327345043395,5.897838779090769e-7,2.605038320572727e-6,TAS2R43
ENSG00000126860.11,31.178015050647026,-7.6711437373631135,1.5431339867022986,-4.971145605934367,6.655843784846143e-7,2.9277497976891545e-6,EVI2A
ENSG00000243896.4,28.49595685095687,-7.541052689068166,1.551574061653713,-4.8602595747383734,1.1723193827947877e-6,5.0267685021641865e-6,OR2A7
ENSG00000172209.6,153.86907931284776,-7.530992344488713,1.0585054013576354,-7.114741535404059,1.1212275274139538e-12,7.405098106269347e-12,GPR22
