"","gene_id","gene_name","gene_type","chr","X1kb_up_tss_start","strand","number_of_dbp","tpm_homo_sapiens_cytosolic_fraction","tpm_homo_sapiens_hepg2","tpm_homo_sapiens_insoluble_cytoplasmic_fraction","tpm_homo_sapiens_membrane_fraction","tpm_homo_sapiens_nuclear_fraction"
"1","ENSG00000000003.15","TSPAN6","protein_coding","chrX",100638992,"-",0,1.7327585,55.795013,51.693445,12.675426,32.65796
"2","ENSG00000000005.6","TNMD","protein_coding","chrX",100583936,"+",0,0.001367,0.0604705,0.0450855,0,0.3479115
"3","ENSG00000000419.12","DPM1","protein_coding","chr20",50957556,"-",307,1.4407525,91.0045155,149.175021,9.744366,44.266595
"4","ENSG00000000457.14","SCYL3","protein_coding","chr1",169893268,"-",270,0.0977235,3.3350475,4.686947,0.6435095,5.9365345
"5","ENSG00000000460.17","C1orf112","protein_coding","chr1",169661007,"+",12,0.6155535,14.177265,22.5434225,3.855659,15.0380155
"6","ENSG00000000938.13","FGR","protein_coding","chr1",27634186,"-",10,0.0137385,0.009553,0,0.01967,0
"7","ENSG00000000971.15","CFH","protein_coding","chr1",196650878,"+",0,0.000188,0.042522,0.0131095,0.002295,0.096901
"8","ENSG00000001036.14","FUCA2","protein_coding","chr6",143510721,"-",356,1.036505,67.276875,41.034147,10.5661115,45.724838
"9","ENSG00000001084.13","GCLC","protein_coding","chr6",53615971,"-",204,0.707801,31.743062,48.0660725,9.0147755,34.932003
"10","ENSG00000001167.14","NFYA","protein_coding","chr6",41071945,"+",342,0.206852,9.3224835,31.4643185,4.5558325,10.5404
"11","ENSG00000001460.18","STPG1","protein_coding","chr1",24415935,"-",171,0.1718445,2.5008745,2.594381,1.1584565,3.1163745
"12","ENSG00000001461.17","NIPAL3","protein_coding","chr1",24414802,"+",211,0.114288,2.9278325,3.541832,1.2651945,2.866305
"13","ENSG00000001497.16","LAS1L","protein_coding","chrX",65533776,"-",179,0.349567,12.506721,24.3523925,2.5455945,6.5501075
"14","ENSG00000001561.7","ENPP4","protein_coding","chr6",46128989,"+",11,0.0020355,0.334842,0.304794,0.0286915,0.2700785
"15","ENSG00000001617.12","SEMA3F","protein_coding","chr3",50154045,"+",176,0.125615,4.625114,2.8734885,2.1091125,4.1089455
"16","ENSG00000001626.15","CFTR","protein_coding","chr7",117464784,"+",0,0,4.9349255,1.9356405,0.8472855,8.540394
"17","ENSG00000001629.10","ANKIB1","protein_coding","chr7",92244974,"+",306,4.3850705,11.1410225,15.9894115,11.534761,13.9856505
"18","ENSG00000001630.17","CYP51A1","protein_coding","chr7",92133804,"-",339,2.4255165,146.39077,158.2422595,27.5664145,77.7291645
"19","ENSG00000001631.15","KRIT1","protein_coding","chr7",92245167,"-",307,0.62273,18.3090925,19.248615,4.406248,26.2023755
"20","ENSG00000002016.18","RAD52","protein_coding","chr12",989054,"-",357,0.4471155,10.487673,8.7298635,2.655581,11.9572685
"21","ENSG00000002330.13","BAD","protein_coding","chr11",64283705,"-",256,5.837538,16.2684365,27.1862505,22.188156,6.3853215
"22","ENSG00000002549.12","LAP3","protein_coding","chr4",17576192,"+",339,0.747552,55.114895,116.8070225,7.2402865,26.723732
"23","ENSG00000002586.20","CD99","protein_coding","chrX",2690187,"+",0,4.2021855,54.8771515,41.6625085,28.5360935,43.6065755
"24","ENSG00000002587.10","HS3ST1","protein_coding","chr4",11428565,"-",19,0.0016635,0.008492,0.005337,0.006871,0.049842
"25","ENSG00000002726.20","AOC1","protein_coding","chr7",150823627,"+",1,0.010924,0.1339265,0.0439815,0.037352,0.315089
"26","ENSG00000002745.13","WNT16","protein_coding","chr7",121324367,"+",0,0,0.0130515,0,0.0096455,0.0324035
"27","ENSG00000002746.15","HECW1","protein_coding","chr7",43111629,"+",12,0.011574,2.199281,0.216242,0.5065035,4.1740785
"28","ENSG00000002822.15","MAD1L1","protein_coding","chr7",2232244,"-",275,2.6072895,19.446224,25.6232075,7.4432925,12.4089075
"29","ENSG00000002834.18","LASP1","protein_coding","chr17",38868859,"+",344,0.758585,42.706284,70.0124195,12.239637,26.523733
"30","ENSG00000002919.14","SNX11","protein_coding","chr17",48102357,"+",39,0.56343,9.2515555,12.845112,5.5397355,11.7349665
"31","ENSG00000002933.9","TMEM176A","protein_coding","chr7",150799403,"+",4,0,0.0210745,0,0,0.1224165
"32","ENSG00000003056.8","M6PR","protein_coding","chr12",8948762,"-",329,1.5087555,51.518887,47.7599995,14.9503445,42.865214
"33","ENSG00000003096.14","KLHL13","protein_coding","chrX",118116341,"-",25,0.011454,0.8568625,1.948339,0.167663,0.405081
"34","ENSG00000003137.8","CYP26B1","protein_coding","chr2",72147039,"-",42,0,0.0944805,0.032134,0.016027,0.0413545
"35","ENSG00000003147.19","ICA1","protein_coding","chr7",8261688,"-",52,0.017243,0.64384,0.3166735,0.2154085,1.224153
"36","ENSG00000003249.13","DBNDD1","protein_coding","chr16",90019129,"-",258,1.868637,7.2959285,8.586037,14.542725,3.32111
"37","ENSG00000003393.15","ALS2","protein_coding","chr2",201779957,"-",306,0.7059775,12.0020675,18.3952455,3.3983915,15.571472
"38","ENSG00000003400.14","CASP10","protein_coding","chr2",201181881,"+",227,0.516924,14.362083,19.898005,3.2466755,15.976342
"39","ENSG00000003402.20","CFLAR","protein_coding","chr2",201115154,"+",374,3.3096625,55.443664,75.8252965,18.5063535,64.0159185
"40","ENSG00000003436.16","TFPI","protein_coding","chr2",187564761,"-",9,1.7666125,129.7311515,122.7885085,14.932096,127.1758095
"41","ENSG00000003509.16","NDUFAF7","protein_coding","chr2",37230631,"+",331,0.425857,20.8374925,28.3280455,2.736977,21.1298085
"42","ENSG00000003756.17","RBM5","protein_coding","chr3",50087919,"+",238,1.6968235,53.1330115,36.428675,7.2700265,82.154896
"43","ENSG00000003987.14","MTMR7","protein_coding","chr8",17412529,"-",3,0.005065,1.4399765,0.279595,0.152746,5.430967
"44","ENSG00000003989.17","SLC7A2","protein_coding","chr8",17496088,"+",303,0.2164915,21.0873305,24.2968835,3.8329355,18.9661905
"45","ENSG00000004059.11","ARF5","protein_coding","chr7",127587386,"+",253,5.6543435,56.706558,70.640524,30.7205295,24.6506895
"46","ENSG00000004139.14","SARM1","protein_coding","chr17",28363356,"+",11,0.0681185,0.7805305,0.2118075,0.420863,1.2453095
"47","ENSG00000004142.12","POLDIP2","protein_coding","chr17",28356528,"-",335,3.9573505,42.61646,75.764296,32.7281055,16.5168275
"48","ENSG00000004399.12","PLXND1","protein_coding","chr3",129605819,"-",259,0.7631995,5.090273,10.3913715,3.9656925,9.541896
"49","ENSG00000004455.17","AK2","protein_coding","chr1",33079997,"-",223,3.932214,83.19158,170.0842755,19.2928365,37.648244
"50","ENSG00000004468.13","CD38","protein_coding","chr4",15777275,"+",44,0.0012495,0.085758,0.02297,0.0157295,0.255286
"51","ENSG00000004478.8","FKBP4","protein_coding","chr12",2793970,"+",266,1.6311205,32.496677,49.366504,9.258602,19.4881925
"52","ENSG00000004487.16","KDM1A","protein_coding","chr1",23018443,"+",344,1.894488,69.8436195,123.633356,15.3474535,35.666841
"53","ENSG00000004534.15","RBM6","protein_coding","chr3",49939007,"+",328,1.7429535,31.028148,24.251572,8.142379,41.688894
"54","ENSG00000004660.15","CAMKK1","protein_coding","chr17",3893892,"-",64,0.020951,0.676185,0.5744025,0.2673445,0.7066815
"55","ENSG00000004700.16","RECQL","protein_coding","chr12",21500670,"-",245,0.1345975,20.9281555,51.4853395,1.9492555,11.521769
"56","ENSG00000004766.17","VPS50","protein_coding","chr7",93231340,"+",205,0.834316,16.8598735,21.2259595,3.2615755,27.5817325
"57","ENSG00000004776.13","HSPB6","protein_coding","chr19",35757080,"-",208,0.021199,0.1738045,0.1346495,0.100904,0.855623
"58","ENSG00000004777.18","ARHGAP33","protein_coding","chr19",35773532,"+",137,0.054997,1.737738,0.983785,0.589163,2.4736895
"59","ENSG00000004779.10","NDUFAB1","protein_coding","chr16",23595317,"-",366,15.613251,341.971388,688.343703,84.938736,79.1938755
"60","ENSG00000004799.8","PDK4","protein_coding","chr7",95595517,"-",104,0,0.052935,0.02705,0.026723,0.0278505
"61","ENSG00000004809.14","SLC22A16","protein_coding","chr6",110475642,"-",1,0.001006,0.070055,0.118579,0.039898,0.156851
"62","ENSG00000004838.14","ZMYND10","protein_coding","chr3",50344733,"-",40,0.043947,0.1944775,0.1874585,0.062008,0.316033
"63","ENSG00000004846.16","ABCB5","protein_coding","chr7",20614207,"+",0,0.0118795,0.2322795,0.118311,0.0765,0.5601345
"64","ENSG00000004848.8","ARX","protein_coding","chrX",25015421,"-",108,0.0012295,0.0039055,0.0115735,0.01077,0.033122
"65","ENSG00000004864.13","SLC25A13","protein_coding","chr7",96321148,"-",385,3.137716,50.4450635,79.216606,15.3647735,43.7689955
"66","ENSG00000004866.20","ST7","protein_coding","chr7",116952238,"+",262,1.262898,11.6299035,12.21413,11.316936,19.5541995
"67","ENSG00000004897.12","CDC27","protein_coding","chr17",47188423,"-",333,1.0908925,44.7629405,102.230201,13.394306,30.7790125
"68","ENSG00000004939.15","SLC4A1","protein_coding","chr17",44267142,"-",12,0.064881,0.9768725,0.4772945,0.40879,2.940776
"69","ENSG00000004948.15","CALCR","protein_coding","chr7",93573731,"-",6,0,0,0,0,0
"70","ENSG00000004961.15","HCCS","protein_coding","chrX",11110301,"+",161,0.216919,5.507726,16.464667,2.7556005,3.4340525
"71","ENSG00000004975.12","DVL2","protein_coding","chr17",7233518,"-",305,3.385831,19.1551,18.3946785,11.77213,16.654592
"72","ENSG00000005001.10","PRSS22","protein_coding","chr16",2857171,"-",0,0,0.0815095,0.085289,0.043401,0.1068225
"73","ENSG00000005007.12","UPF1","protein_coding","chr19",18830938,"+",277,1.3606335,21.7342365,24.9573025,9.4147185,19.9970815
"74","ENSG00000005020.13","SKAP2","protein_coding","chr7",26994240,"-",0,0.2842525,6.4013665,13.46637,1.767256,5.4113385
"75","ENSG00000005022.6","SLC25A5","protein_coding","chrX",119467422,"+",274,9.909072,146.7791965,345.2588305,88.354877,61.7257845
"76","ENSG00000005059.16","MCUB","protein_coding","chr4",109559209,"+",234,0.589282,4.318735,4.804218,4.250968,3.0616505
"77","ENSG00000005073.5","HOXA11","protein_coding","chr7",27184224,"-",55,0,0.003693,0,0.008266,0
"78","ENSG00000005075.15","POLR2J","protein_coding","chr7",102477908,"-",0,9.2565445,18.733263,24.225782,28.6196195,17.509458
"79","ENSG00000005100.13","DHX33","protein_coding","chr17",5467983,"-",324,0.9264535,9.945341,24.19857,5.0747795,8.382264
"80","ENSG00000005102.13","MEOX1","protein_coding","chr17",43660923,"-",12,0,0.005889,0,0,0
"81","ENSG00000005108.16","THSD7A","protein_coding","chr7",11831199,"-",47,0,0.016244,0.006106,0.0338725,0.0737355
"82","ENSG00000005156.12","LIG3","protein_coding","chr17",34979512,"+",309,1.2324145,22.6676555,23.9788135,6.114879,27.981973
"83","ENSG00000005175.10","RPAP3","protein_coding","chr12",47705031,"-",284,0.13561,18.3570075,38.147991,1.904815,12.022575
"84","ENSG00000005187.12","ACSM3","protein_coding","chr16",20609243,"+",127,0.8098215,44.477817,70.9292545,11.5076945,66.568738
"85","ENSG00000005189.19","REXO5","protein_coding","chr16",20805429,"+",377,0.9003735,6.6986535,9.9196365,3.6303545,10.9650445
"86","ENSG00000005194.15","CIAPIN1","protein_coding","chr16",57446421,"-",342,1.233306,40.104655,78.160335,8.8164025,15.978298
"87","ENSG00000005206.17","SPPL2B","protein_coding","chr19",2327615,"+",303,1.2778965,12.2914055,3.48559,5.343483,14.332439
"88","ENSG00000005238.19","FAM214B","protein_coding","chr9",35115342,"-",226,0.045805,0.8834475,1.386138,0.503592,0.799716
"89","ENSG00000005243.10","COPZ2","protein_coding","chr17",48037031,"-",233,0.0546975,0.470542,0.314047,0.3299435,0.2856595
"90","ENSG00000005249.13","PRKAR2B","protein_coding","chr7",107043705,"+",83,0.0014715,0.0737045,0.0921785,0.033522,0.256118
"91","ENSG00000005302.19","MSL3","protein_coding","chrX",11757159,"+",137,0.222182,2.8965445,5.4796245,1.477789,3.8734915
"92","ENSG00000005339.14","CREBBP","protein_coding","chr16",3879727,"-",221,2.854514,21.95909,16.1371785,9.4327285,54.3450445
"93","ENSG00000005379.17","TSPOAP1","protein_coding","chr17",58327796,"-",22,0.0021885,0.0732155,0.0025665,0.010469,0.102811
"94","ENSG00000005381.8","MPO","protein_coding","chr17",58279936,"-",20,0,0.004211,0,0.0295975,0
"95","ENSG00000005421.9","PON1","protein_coding","chr7",95323533,"-",29,0.0356895,0.8394885,0.1151755,0.2543265,2.3052575
"96","ENSG00000005436.14","GCFC2","protein_coding","chr2",75709986,"-",382,2.537959,26.68585,41.315599,16.7162305,22.08991
"97","ENSG00000005448.16","WDR54","protein_coding","chr2",74420678,"+",214,0.2166475,6.70142,5.0406195,2.0915425,8.7734345
"98","ENSG00000005469.11","CROT","protein_coding","chr7",87344681,"+",298,0.188547,11.9900515,11.4406035,1.1282515,19.914962
"99","ENSG00000005471.17","ABCB4","protein_coding","chr7",87479436,"-",5,0.4781355,13.9236135,6.5355675,1.762124,23.471355
"100","ENSG00000005483.21","KMT2E","protein_coding","chr7",105013190,"+",344,1.7068115,18.660992,26.371554,8.064436,39.4025455
"101","ENSG00000005486.17","RHBDD2","protein_coding","chr7",75841602,"+",32,2.303033,11.497328,8.8874985,10.7997615,9.7763135
"102","ENSG00000005513.10","SOX8","protein_coding","chr16",980770,"+",100,0.0027175,0.1516395,0.1765685,0.118564,0.065349
"103","ENSG00000005700.15","IBTK","protein_coding","chr6",82246755,"-",0,1.2315325,34.1673075,73.2930475,7.2099825,28.396955
"104","ENSG00000005801.18","ZNF195","protein_coding","chr11",3378223,"-",282,0.558754,16.8969545,24.075475,4.8230555,32.9053495
